Strata,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,BETA,SEBeta,RR,Low95%CI,Upper95%CI,,,,,,,,,,,,,
Warm All,-0.00366181,0.001683863,0.994522342,0.989611069,0.999458,-0.001115263,0.000371266,0.990233689,0.983912892,0.996595,-0.000110537,0.00016211,0.997902001,0.991895838,1.003945,-0.006658865,0.0018939,0.992041202,0.987632029,0.99647,,0.994522342,0.989611069,0.999457989,0.990233689,0.983912892,0.996595091,0.997902001,0.991895838,1.003944533,0.992041202,0.987632029,0.99647006
Warm Female,-0.002876062,0.002016656,0.995695199,0.98980922,1.001616,-0.000756822,0.000445505,0.993362095,0.985758283,1.001025,-0.000143122,0.000193695,0.997284376,0.990116645,1.004504,-0.003063856,0.002277937,0.996330123,0.991006352,1.001682,,0.995695199,0.98980922,1.00161618,0.993362095,0.985758283,1.001024561,0.997284376,0.990116645,1.004503996,0.996330123,0.991006352,1.001682494
Warm Male,-0.004284432,0.001963229,0.993593959,0.987875559,0.999345,-0.00139928,0.000432378,0.987761839,0.980422851,0.995156,-8.41E-05,0.00018925,0.99840342,0.991391739,1.005465,-0.009487975,0.002200595,0.988679,0.983575016,0.993809,,0.993593959,0.987875559,0.99934546,0.987761839,0.980422851,0.995155763,0.998403376,0.991391695,1.005464647,0.988679,0.983575016,0.99380947
Cold All,0.001152265,0.002417244,1.001729892,0.994636137,1.008874,0.000169774,0.00035291,1.001495128,0.995417551,1.00761,3.91E-05,0.000376334,1.000742431,0.986815169,1.014866,-0.00313863,0.001746578,0.996240728,0.992156614,1.000342,,1.001729892,0.994636137,1.00887424,1.001495128,0.995417551,1.007609811,1.000743176,0.986815904,1.014867009,0.996240728,0.992156614,1.000341654
Cold Female,0.005802207,0.00307852,1.008741294,0.999652522,1.017913,0.00074697,0.000448536,1.006594988,0.998837663,1.014413,0.000511782,0.000481773,1.009771288,0.991816302,1.028051,-0.002096465,0.002241151,0.997487404,0.992243295,1.002759,,1.008741294,0.999652522,1.017912701,1.006594988,0.998837663,1.014412559,1.009771288,0.991816302,1.028051316,0.997487404,0.992243295,1.002759229
Cold Male,-0.002830616,0.002595873,0.995763077,0.988192472,1.003392,-0.000330046,0.000379782,0.997099809,0.990589672,1.003653,-0.000356286,0.000402663,0.993253427,0.978470536,1.00826,-0.004028465,0.001866483,0.995177508,0.990818286,0.999556,,0.995763077,0.988192472,1.003391681,0.997099809,0.990589672,1.00365273,0.993253427,0.978470536,1.00825966,0.995177508,0.990818286,0.999555909
Age 0-10 All,0.000972506,0.002812447,1.001459824,0.993213299,1.009775,-0.00021599,0.000512816,0.998101093,0.989311767,1.006969,0.000410889,0.000307647,1.007837444,0.996356769,1.01945,-0.003382282,0.002580714,0.995949487,0.989922544,1.002013,,1.001459824,0.993213299,1.009774818,0.998101093,0.989311767,1.006968506,1.007837444,0.996356769,1.019450407,0.995949487,0.989922544,1.002013125
Age 0-10 Female,0.001994763,0.003895207,1.002996625,0.991575919,1.014549,0.000331855,0.000708983,1.002924592,0.990734973,1.015264,0.000146992,0.000427335,1.002796752,0.986964599,1.018883,0.000192349,0.003570253,1.000230845,0.991866838,1.008665,,1.002996625,0.991575919,1.014548872,1.002924592,0.990734973,1.015264188,1.002796752,0.986964599,1.018882872,1.000230845,0.991866838,1.008665383
Age 0-10 Male,0.000237838,0.003435191,1.000356821,0.990304602,1.010511,-0.000613553,0.000627114,0.994615283,0.983915038,1.005432,0.000600289,0.000374989,1.011470782,0.997444172,1.025695,-0.005976787,0.003155693,0.992853514,0.985511647,1.00025,,1.000356821,0.990304602,1.010511076,0.994615283,0.983915038,1.005431895,1.011470782,0.997444172,1.025694641,0.992853514,0.985511647,1.000250077
Age 11-60 All,-0.002095364,0.001517887,0.996861888,0.992423216,1.00132,-0.000369057,0.000272533,0.996757566,0.992083154,1.001454,-0.000134284,0.000167843,0.997451856,0.991236754,1.003706,-0.004237929,0.001361798,0.994927395,0.991745791,0.998119,,0.996861888,0.992423216,1.001320413,0.996757566,0.992083154,1.001454004,0.997451856,0.991236754,1.003705927,0.994927395,0.991745791,0.998119205
Age 11-60 Female,0.001314927,0.002022812,1.001974337,0.996033212,1.007951,0.000306263,0.000360753,1.002698749,0.99647906,1.008957,7.66E-06,0.00022457,1.000145601,0.991816274,1.008545,-0.001285428,0.001816605,0.998458675,0.994201707,1.002734,,1.001974337,0.996033212,1.0079509,1.002698749,0.99647906,1.00895726,1.000145551,0.991816224,1.008544827,0.998458675,0.994201707,1.002733872
Age 11-60 Male,-0.004496569,0.001703416,0.993277842,0.988315899,0.998265,-0.000856884,0.000307259,0.99248778,0.987241901,0.997762,-0.000231481,0.000187931,0.995611519,0.988668007,1.002604,-0.006325519,0.00152807,0.992438113,0.988877672,0.996011,,0.993277842,0.988315899,0.998264697,0.99248778,0.987241901,0.997761533,0.995611519,0.988668007,1.002603795,0.992438113,0.988877672,0.996011374
Age 60+All,-0.000455118,0.00234285,0.999317556,0.992457929,1.006225,-0.00016869,0.000418733,0.998516629,0.991331015,1.005754,0.000056554,0.000260279,1.001075104,0.991418767,1.010825,-0.006654987,0.002136268,0.992045819,0.987073784,0.997043,,0.999317556,0.992457929,1.006224595,0.998516629,0.991331015,1.005754328,1.001075104,0.991418767,1.010825492,0.992045819,0.987073784,0.997042899
Age 60+ Female,-0.000427602,0.002786546,0.999358803,0.991205056,1.00758,-0.0001593,0.000497432,0.998599142,0.990068103,1.007204,5.19E-05,0.000309955,1.000986991,0.989499302,1.012608,-0.00718959,0.002536786,0.991409602,0.985511948,0.997343,,0.999358803,0.991205056,1.007579623,0.998599142,0.990068103,1.00720369,1.000986586,0.989498901,1.012607639,0.991409602,0.985511948,0.99734255
Age 60+ Male,-0.000496127,0.003235669,0.999256086,0.989795367,1.008807,-0.000182547,0.000579387,0.998394876,0.988467336,1.008422,6.33E-05,0.000358796,1.001202792,0.987914134,1.01467,-0.005828807,0.002961083,0.993029837,0.98613794,0.99997,,0.999256086,0.989795367,1.008807234,0.998394876,0.988467336,1.008422122,1.001203424,0.987914757,1.014670839,0.993029837,0.98613794,0.999969899
All: LAG 9,-0.002192738,0.001414371,0.996716296,0.992580305,1.00087,-0.000420305,0.000253944,0.996308148,0.991953835,1.000682,-0.000107916,0.000156498,0.997951697,0.992152564,1.003785,-0.004008912,0.001264874,0.995200858,0.992244552,0.998166,,0.996716296,0.992580305,1.000869522,0.996308148,0.991953835,1.000681574,0.997951697,0.992152564,1.003784726,0.995200858,0.992244552,0.998165973
Female,-0.001377131,0.001764748,0.997936436,0.992772192,1.003128,-0.000249221,0.000315388,0.997809258,0.9923961,1.003252,-8.01E-05,0.000195867,0.998479868,0.991223366,1.005789,-0.002705813,0.001579975,0.99675829,0.993061109,1.000469,,0.997936436,0.992772192,1.003127543,0.997809258,0.9923961,1.003251944,0.998479258,0.99122276,1.005788878,0.99675829,0.993061109,1.000469236
Male,-0.002866383,0.001570898,0.995709655,0.991121633,1.000319,-0.000564212,0.000283129,0.99504724,0.990199863,0.999918,-0.000130447,0.00017337,0.997524576,0.991105005,1.003986,-0.005089112,0.001404219,0.993911675,0.990634475,0.9972,,0.995709655,0.991121633,1.000318916,0.99504724,0.990199863,0.999918347,0.997524576,0.991105005,1.003985728,0.993911675,0.990634475,0.997199717
Warm All,-0.004930722,0.001688359,0.992631201,0.987716211,0.997571,-0.001347234,0.00037254,0.988214342,0.981884859,0.994585,-0.00022166,0.00016279,0.995797316,0.989778756,1.001852,-0.006708524,0.001879098,0.991982088,0.987607559,0.996376,,0.992631201,0.987716211,0.997570648,0.988214342,0.981884859,0.994584627,0.995797316,0.989778756,1.001852473,0.991982088,0.987607559,0.996375992
Warm Female,-0.004969032,0.002027888,0.992574161,0.986674049,0.99851,-0.001197174,0.000448417,0.989520169,0.981896447,0.997203,-0.000299201,0.000195075,0.994331309,0.987134071,1.001581,-0.005209928,0.002267492,0.993767589,0.988481794,0.999082,,0.992574161,0.986674049,0.998509555,0.989520169,0.981896447,0.997203084,0.994331309,0.987134071,1.001581023,0.993767589,0.988481794,0.99908165
Warm Male,-0.004905434,0.00196404,0.992668854,0.986953426,0.998417,-0.001467286,0.000432917,0.987170887,0.979827181,0.99457,-0.000159982,0.000189515,0.996964957,0.989953609,1.004026,-0.007899851,0.002178785,0.990564971,0.985501802,0.995654,,0.992668854,0.986953426,0.99841738,0.987170887,0.979827181,0.994569634,0.996964957,0.989953609,1.004025963,0.990564971,0.985501802,0.995654152
Cold All,0.000496633,0.002409568,1.000745227,0.99368087,1.00786,6.89E-05,0.000352096,1.000606154,0.994547936,1.006701,0.000022233,0.000372717,1.000422516,0.986632594,1.014405,-0.002211997,0.001732141,0.997349123,0.993294193,1.001421,,1.000745227,0.99368087,1.007859807,1.000606504,0.994548283,1.006701628,1.000422516,0.986632594,1.014405177,0.997349123,0.993294193,1.001420607
Cold Female,0.00211972,0.003073607,1.00318464,0.994160293,1.012291,0.000204184,0.000448248,1.001798434,0.994083012,1.009574,0.000373633,0.000477014,1.007124285,0.989391695,1.025175,-0.001011823,0.002221709,0.998786549,0.993581043,1.004019,,1.00318464,0.994160293,1.012290904,1.001798434,0.994083012,1.009573739,1.007124285,0.989391695,1.025174691,0.998786549,0.993581043,1.004019328
Cold Male,-0.000899818,0.002589442,0.998651183,0.991077359,1.006283,-4.89E-05,0.000379058,0.999569648,0.993055786,1.006126,-0.000275256,0.000399366,0.994783788,0.980098449,1.009689,-0.003235389,0.001853268,0.99612506,0.991792514,1.000477,,0.998651183,0.991077359,1.006282888,0.999569773,0.99305591,1.006126362,0.994783788,0.980098449,1.009689165,0.99612506,0.991792514,1.000476533
Age 0-10 All,-5.39E-05,0.00281206,0.999919173,0.991686464,1.00822,-0.000765916,0.00051246,0.993282602,0.984541754,1.002101,0.00067704,0.000308002,1.012946854,1.001394737,1.024632,-0.003923027,0.00256365,0.995303431,0.989320102,1.001323,,0.999919153,0.991686444,1.008220208,0.993282602,0.984541754,1.002101053,1.012946854,1.001394737,1.024632236,0.995303431,0.989320102,1.001322947
Age 0-10 Female,0.00050468,0.003897281,1.000757307,0.989356066,1.01229,-0.000598288,0.000709803,0.994748901,0.982644751,1.007002,0.000658305,0.000427658,1.012586345,0.996587646,1.028842,-0.004518612,0.003547059,0.99459234,0.986329287,1.002925,,1.000757307,0.989356066,1.012289934,0.994748901,0.982644751,1.007002149,1.012586345,0.996587646,1.028841878,0.99459234,0.986329287,1.002924617
Age 0-10 Male,-0.000444202,0.003435464,0.999333919,0.989291185,1.009479,-0.00088538,0.000626479,0.99223893,0.981575001,1.003019,0.000691709,0.000375962,1.013229213,0.999142014,1.027515,-0.003484668,0.003137476,0.995827129,0.988505626,1.003203,,0.999333919,0.989291185,1.009478601,0.99223893,0.981575001,1.003018713,1.013229213,0.999142014,1.027515031,0.995827129,0.988505626,1.00320286
Age 11-60 All,-0.002321942,0.001520015,0.996523145,0.992079774,1.000986,-3.35E-04,0.000272653,0.997053709,0.992375853,1.001754,-0.000216938,0.0001682,0.995886661,0.989668154,1.002144,-0.002957755,0.001352249,0.996456985,0.993292799,0.999631,,0.996523145,0.992079774,1.000986417,0.997056341,0.992378473,1.001756259,0.995886661,0.989668154,1.002144242,0.996456985,0.993292799,0.999631252
Age 11-60 Female,-0.001439844,0.002027805,0.997842565,0.991911378,1.003809,-9.81E-05,0.000361496,0.999137126,0.992926804,1.005386,-0.000239935,0.0002252,0.99545161,0.987138216,1.003835,-0.000830831,0.001805052,0.9990035,0.994771238,1.003254,,0.997842565,0.991911378,1.003809217,0.999137093,0.992926771,1.005386257,0.99545161,0.987138216,1.003835018,0.9990035,0.994771238,1.003253767
Age 11-60 Male,-0.002952614,0.001705797,0.995580872,0.99060049,1.000586,-0.000508285,0.000307291,0.995537081,0.990274538,1.000828,-0.00020083,0.000188286,0.996191501,0.989230866,1.003201,-0.004477788,0.00151682,0.994641065,0.991098945,0.998196,,0.995580872,0.99060049,1.000586294,0.995537081,0.990274538,1.000827589,0.996191501,0.989230866,1.003201113,0.994641065,0.991098945,0.998195844
Age 60+All,-0.003165332,0.002349187,0.995263256,0.988413044,1.002161,-0.000528397,0.000419559,0.9953609,0.988183918,1.00259,-0.000227834,0.000261152,0.99568051,0.986044152,1.005411,-0.00800158,0.002121697,0.990444055,0.985513822,0.995399,,0.995263256,0.988413044,1.002160943,0.9953609,0.988183918,1.002590008,0.99568051,0.986044152,1.005411042,0.990444055,0.985513822,0.995398953
Age 60+ Female,-2.12E-03,0.002799068,0.996818083,0.988648668,1.005055,-0.000487726,0.000499259,0.995717209,0.987179681,1.004329,-2.29E-05,0.000311582,0.999564385,0.988033156,1.01123,-0.006693262,0.002525274,0.992000255,0.986125788,0.99791,,0.996825051,0.988655579,1.005062029,0.995717209,0.987179681,1.004328572,0.999564995,0.988033758,1.011230811,0.992000255,0.986125788,0.997909718
Age 60+ Male,-0.004749861,0.003236814,0.99290053,0.983496672,1.002394,-0.000590517,0.000579233,0.994816929,0.984927583,1.004806,-0.000537797,0.000358995,0.989833885,0.976688885,1.003156,-0.010019027,0.002934489,0.988049153,0.981253198,0.994892,,0.99290053,0.983496672,1.002394303,0.994816929,0.984927583,1.004805571,0.989833885,0.976688885,1.0031558,0.988049153,0.981253198,0.994892175
All: LAG 10,-2.69E-06,0.001419381,0.999995969,0.995831701,1.004178,0.000117081,0.000254524,1.001030844,0.99664592,1.005435,-0.000113687,0.000157115,0.997842278,0.992020987,1.003698,-0.002877936,0.00125684,0.996552433,0.993610887,0.999503,,0.999995965,0.995831696,1.004177647,1.001030844,0.99664592,1.005435059,0.997842278,0.992020987,1.003697729,0.996552433,0.993610887,0.999502688
Female,0.0000614,0.001774468,1.000092104,0.994888274,1.005323,0.000174747,0.000316619,1.001538957,0.996084415,1.007023,-0.000156956,0.000197133,0.997022278,0.989729706,1.004369,-0.002133,0.001570371,0.997443673,0.993766397,1.001135,,1.000092104,0.994888274,1.005323154,1.001538957,0.996084415,1.007023367,0.997022278,0.989729706,1.004368583,0.997443673,0.993766397,1.001134556
Male,-0.000059789,0.001575839,0.999910321,0.995288484,1.004554,6.80E-05,0.000283746,1.000598781,0.995713763,1.005508,-7.88E-05,0.000173925,0.998503211,0.992056837,1.004991,-0.00349689,0.001396544,0.995812524,0.992546973,0.999089,,0.999910321,0.995288484,1.00455362,1.000598579,0.995713562,1.005507562,0.99850392,0.992057542,1.004992187,0.995812524,0.992546973,0.999088819
Warm All,-0.00392158,0.001695171,0.994134897,0.989192651,0.999102,-0.000910693,0.000373886,0.992017929,0.985641201,0.998436,-0.000251884,0.000163626,0.995225638,0.989179737,1.001308,-0.007689325,0.001855092,0.99081525,0.986501566,0.995148,,0.994134897,0.989192651,0.999101836,0.992017929,0.985641201,0.998435912,0.995225638,0.989179737,1.001308492,0.99081525,0.986501566,0.995147797
Warm Female,-0.005542004,0.002038018,0.991721451,0.985797048,0.997681,-0.001346673,0.000449595,0.988219221,0.980585598,0.995912,-0.00032649,0.00019664,0.993815891,0.986564884,1.00112,-0.009409428,0.002238226,0.988772194,0.98358067,0.993991,,0.991721451,0.985797048,0.997681459,0.988219221,0.980585598,0.99591227,0.993815891,0.986564884,1.001120191,0.988772194,0.98358067,0.99399112
Warm Male,-0.002637089,0.001976064,0.99605218,0.990282264,1.001856,-0.000564941,0.000435776,0.995040857,0.987589903,1.002548,-0.000192872,0.000190739,0.996342138,0.989290076,1.003444,-0.006338814,0.002160497,0.99242228,0.987392088,0.997478,,0.99605218,0.990282264,1.001855714,0.995040857,0.987589903,1.002548024,0.996342138,0.989290076,1.003444471,0.99242228,0.987392088,0.997478097
Cold All,0.004419098,0.002405588,1.006650665,0.999556317,1.013795,0.0006939,0.000351787,1.006125002,1.000038699,1.012248,3.62E-05,0.000367428,1.00068809,0.987088907,1.014475,0.000188291,0.001721183,1.000225975,0.996185022,1.004283,,1.006650665,0.999556317,1.013795366,1.006125002,1.000038699,1.012248346,1.000688037,0.987088855,1.014474575,1.000225975,0.996185022,1.004283319
Cold Female,0.00644246,0.003077585,1.009710534,1.00061578,1.018888,0.001008442,0.000449087,1.008913783,1.001129074,1.016759,5.15E-05,0.000471746,1.000979867,0.983548397,1.01872,0.002314177,0.002208299,1.002780872,0.997586012,1.008003,,1.009710534,1.00061578,1.018887952,1.008913783,1.001129074,1.016759025,1.000978979,0.983547524,1.018719372,1.002780872,0.997586012,1.008002784
Cold Male,0.002685983,0.002585412,1.004037102,0.996434236,1.011698,0.000422815,0.00037881,1.003727703,0.99719101,1.010307,2.20E-05,0.000393522,1.000418473,0.985864484,1.015187,-0.001609706,0.001843714,0.998070217,0.993751541,1.002408,,1.004037102,0.996434236,1.011697978,1.003727703,0.99719101,1.010307244,1.000418087,0.985864104,1.015186926,0.998070217,0.993751541,1.002407662
Age 0-10 All,0.003638437,0.00282809,1.005472576,0.997147148,1.013868,0.000178073,0.000515309,1.001568271,0.992705726,1.01051,0.000661335,0.00030978,1.012644641,1.001029688,1.024394,-0.001060546,0.002547123,0.998728154,0.992762827,1.004729,,1.005472576,0.997147148,1.013867514,1.001568271,0.992705726,1.010509937,1.012644641,1.001029688,1.024394363,0.998728154,0.992762827,1.004729326
Age 0-10 Female,0.005852148,0.003926221,1.008816864,0.997238951,1.020529,0.000371906,0.000713766,1.003278134,0.991002459,1.015706,0.000990903,0.000430712,1.019005505,1.002791331,1.035482,0.000709618,0.003521286,1.000851904,0.992597015,1.009175,,1.008816864,0.997238951,1.020529195,1.003278134,0.991002459,1.01570587,1.019005505,1.002791331,1.035481848,1.000851904,0.992597015,1.009175445
Age 0-10 Male,0.002052955,0.003454809,1.003084179,0.992947282,1.013325,3.88E-05,0.00063046,1.000341436,0.989522479,1.011279,0.000425915,0.000378105,1.008125217,0.994029649,1.022421,-0.002356257,0.003122866,0.997176485,0.989879076,1.004528,,1.003084179,0.992947282,1.013324562,1.000341498,0.989522541,1.011278745,1.008125217,0.994029649,1.022420663,0.997176485,0.989879076,1.004527692
Age 11-60 All,-0.000735359,0.001524963,0.99889757,0.994429145,1.003386,5.28E-05,0.000273169,1.000464725,0.995762004,1.00519,-0.000223664,0.000168871,0.995759401,0.989516962,1.002041,-0.003086801,0.00134408,0.996302691,0.993158076,0.999457,,0.99889757,0.994429145,1.003386073,1.000464748,0.995762027,1.005189679,0.995759401,0.989516962,1.00204122,0.996302691,0.993158076,0.999457262
Age 11-60 Female,-0.000643586,0.002038908,0.999035087,0.993064395,1.005042,9.75E-05,0.000363045,1.000858549,0.994610954,1.007145,-0.000249549,0.000226828,0.995269792,0.986898082,1.003713,-0.002502888,0.001798167,0.99700104,0.992793339,1.001227,,0.999035087,0.993064395,1.005041677,1.000858368,0.994610774,1.007145206,0.995269792,0.986898082,1.003712518,0.99700104,0.992793339,1.001226575
Age 11-60 Male,-0.00081416,0.001710673,0.998779505,0.993768876,1.003815,1.77E-05,0.000307748,1.000155353,0.994860556,1.005478,-0.000206116,0.00018885,0.996091454,0.989110744,1.003121,-0.003513666,0.001507811,0.995792477,0.992267282,0.99933,,0.998779505,0.993768876,1.003815399,1.000155772,0.994860973,1.005478751,0.996091454,0.989110744,1.003121432,0.995792477,0.992267282,0.999330197
Age 60+All,0.000267779,0.002368309,1.000401749,0.993460317,1.007392,0.000295956,0.000422225,1.002607807,0.995332801,1.009936,-0.000221212,0.000263315,0.995805792,0.986088789,1.005619,-0.003268875,0.002112589,0.996085034,0.991147953,1.001047,,1.000401749,0.993460317,1.007391682,1.002607807,0.995332801,1.009935987,0.995805792,0.986088789,1.005618548,0.996085034,0.991147953,1.001046707
Age 60+ Female,-0.000815562,0.002820514,0.998777405,0.990529476,1.007094,0.000267125,0.000501948,1.002353465,0.993712948,1.011069,-0.000449228,0.000313816,0.991500991,0.97998125,1.003156,-0.002446992,0.002504902,0.997067917,0.991210932,1.00296,,0.998777405,0.990529476,1.007094012,1.002353465,0.993712948,1.011069113,0.991500991,0.97998125,1.003156146,0.997067917,0.991210932,1.00295951
Age 60+ Male,0.001910097,0.003258581,1.002869254,0.993307413,1.012523,0.000338864,0.000582575,1.002986454,0.992958657,1.013116,0.00012397,0.000361831,1.002358206,0.988942433,1.015956,-0.0045441,0.002927059,0.99456192,0.98773843,1.001433,,1.002869254,0.993307413,1.01252314,1.002986454,0.992958657,1.013115521,1.002358206,0.988942433,1.015955975,0.99456192,0.98773843,1.001432548
All: LAG 11,0.000842402,0.001422854,1.001264402,0.99708467,1.005462,0.000354099,0.000255823,1.003120931,0.998704476,1.007557,-1.40E-04,0.000156919,0.99733442,0.991523329,1.00318,-0.001847978,0.001255654,0.997784883,0.994842474,1.000736,,1.001264402,0.99708467,1.005461655,1.003120931,0.998704476,1.007556917,0.997343535,0.99153239,1.003188737,0.997784883,0.994842474,1.000735995
Female,0.000687026,0.001778552,1.00103107,0.995810397,1.006279,0.000432983,0.000318156,1.003817519,0.998324102,1.009341,-0.000256825,0.000196895,0.995132211,0.98786222,1.002456,-0.000849448,0.001567416,0.998981182,0.995305155,1.002671,,1.00103107,0.995810397,1.006279113,1.003817519,0.998324102,1.009341164,0.995132211,0.98786222,1.002455705,0.998981182,0.995305155,1.002670785
Male,0.000964254,0.001581067,1.001447428,0.996803165,1.006113,0.000287049,0.000285504,1.002529224,0.997604532,1.007478,-4.66E-05,0.000173817,0.999114929,0.992668599,1.005603,-0.002679204,0.00139708,0.996790118,0.993520109,1.000071,,1.001447428,0.996803165,1.006113329,1.002529224,0.997604532,1.007478228,0.999114992,0.992668661,1.005603185,0.996790118,0.993520109,1.00007089
Warm All,-0.001014718,0.001697604,0.998479081,0.993508131,1.003475,-1.08E-04,0.000374607,0.999048689,0.992614423,1.005525,-0.000121869,0.000163279,0.997687168,0.991639127,1.003772,-0.004241964,0.001860129,0.994922577,0.990579275,0.999285,,0.998479081,0.993508131,1.003474902,0.999050051,0.992615777,1.005526034,0.997687168,0.991639127,1.003772095,0.994922577,0.990579275,0.999284922
Warm Female,-0.003245201,0.002044509,0.995144027,0.989180301,1.001144,-0.00051819,0.00045181,0.995450309,0.987723093,1.003238,-3.15E-04,0.000196501,0.994035726,0.986788224,1.001336,-0.004952892,0.002246401,0.994074157,0.988835782,0.99934,,0.995144027,0.989180301,1.001143708,0.995450309,0.987723093,1.003237978,0.994032874,0.986785393,1.001333586,0.994074157,0.988835782,0.999340282
Warm Male,0.000763094,0.001977112,1.001145296,0.99534281,1.006982,0.000217556,0.000435836,1.001916327,0.99441286,1.009476,3.23E-05,0.000190304,1.00061386,0.993547657,1.00773,-0.003681135,0.002164491,0.99559238,0.990536816,1.000674,,1.001145296,0.99534281,1.006981609,1.001916327,0.99441286,1.009476412,1.000613888,0.993547685,1.007730347,0.99559238,0.990536816,1.000673748
Cold All,0.001840856,0.00241602,1.0027651,0.995667597,1.009913,0.000515362,0.000354705,1.004545485,0.998418486,1.01071,-0.000592473,0.000364326,0.988806136,0.975481106,1.002313,-0.000337225,0.001714851,0.999595412,0.995571834,1.003635,,1.0027651,0.995667597,1.009913196,1.004545485,0.998418486,1.010710084,0.988806136,0.975481106,1.002313185,0.999595412,0.995571834,1.003635251
Cold Female,0.004170157,0.003087803,1.00627484,0.997181075,1.015452,0.000835656,0.000452186,1.007380878,0.999554568,1.015268,-0.000458006,0.000468297,0.99133564,0.974197237,1.008776,0.001531178,0.00219906,1.001839103,0.996670779,1.007034,,1.00627484,0.997181075,1.015451536,1.007380878,0.999554568,1.015268467,0.99133564,0.974197237,1.008775548,1.001839103,0.996670779,1.007034227
Cold Male,-0.00017595,0.00259875,0.99973611,0.992126906,1.007404,0.000236092,0.000382499,1.002079769,0.995490465,1.008713,-0.000708744,0.000390189,0.986624127,0.972391503,1.001065,-0.001927767,0.001839397,0.997689353,0.993382411,1.002015,,0.99973611,0.992126906,1.007403673,1.002079769,0.995490465,1.008712689,0.986624127,0.972391503,1.001065069,0.997689353,0.993382411,1.002014969
Age 0-10 All,0.00486764,0.002838416,1.007328181,0.998957061,1.015769,0.000567266,0.000518378,1.005004421,0.996058744,1.01403,0.000592259,0.000310017,1.011316473,0.999707931,1.02306,0.00112773,0.002553082,1.001354192,0.995359229,1.007385,,1.007328181,0.998957061,1.015769449,1.005004421,0.996058744,1.01403044,1.011316473,0.999707931,1.023059814,1.001354192,0.995359229,1.007385262
Age 0-10 Female,0.005265671,0.003938443,1.007929782,0.996326249,1.019668,0.000735808,0.000717745,1.006496119,0.994112842,1.019034,0.00053355,0.000430961,1.010189008,0.994105901,1.026532,0.003250409,0.003532776,1.003908108,0.995601105,1.012284,,1.007929782,0.996326249,1.019668454,1.006496119,0.994112842,1.01903365,1.010189008,0.994105901,1.026532315,1.003908108,0.995601105,1.012284421
Age 0-10 Male,0.004577337,0.003470241,1.006889631,0.996669057,1.017215,0.000443333,0.000634646,1.00390895,0.992979714,1.014958,0.00063503,0.000378524,1.012138653,0.997971397,1.026507,-0.000420373,0.003128158,0.99949568,0.992168948,1.006877,,1.006889631,0.996669057,1.017215013,1.00390895,0.992979714,1.014958479,1.012138653,0.997971397,1.026507028,0.99949568,0.992168948,1.006876515
Age 11-60 All,0.00020262,0.001529046,1.000303976,0.995817307,1.004811,0.000278005,0.000274747,1.002449439,0.997710233,1.007211,-0.000217293,0.000168651,0.995879944,0.989644857,1.002154,-0.002247587,0.001342923,0.99730653,0.994161452,1.000462,,1.000303976,0.995817307,1.00481086,1.002449439,0.997710233,1.007211156,0.995879944,0.989644857,1.002154313,0.99730653,0.994161452,1.000461557
Age 11-60 Female,0.000282081,0.00204396,1.000423211,0.994429452,1.006453,0.000346433,0.000365094,1.003053262,0.99675674,1.00939,-0.000271831,0.000226463,0.994848526,0.986493768,1.003274,-0.00101871,0.001793375,0.998778295,0.994574303,1.003,,1.000423211,0.994429452,1.006453096,1.003053262,0.99675674,1.00938956,0.994848526,0.986493768,1.003274041,0.998778295,0.994574303,1.003000057
Age 11-60 Male,0.000130661,0.0017169,1.000196011,0.995160056,1.005257,0.000225871,0.000309842,1.001989642,0.996649137,1.007359,-0.000180336,0.000188796,0.996579479,0.989597339,1.003611,-0.003131636,0.001509427,0.996249089,0.992718504,0.999792,,1.000196011,0.995160056,1.00525745,1.001989642,0.996649137,1.007358763,0.996579479,0.989597339,1.003610883,0.996249089,0.992718504,0.999792231
Age 60+All,0.000557939,0.00237388,1.000837259,0.993876527,1.007847,0.000483624,0.00042393,1.00426496,0.996948612,1.011635,-0.000336508,0.000263069,0.993626744,0.983940018,1.003409,-0.002201087,0.002106312,0.997362181,0.992433422,1.002315,,1.000837259,0.993876527,1.007846741,1.00426496,0.996948612,1.011635002,0.993626744,0.983940018,1.003408834,0.997362181,0.992433422,1.002315418
Age 60+ Female,-0.000365897,0.002823404,0.999451305,0.99118939,1.007782,0.000508118,0.000503199,1.00448145,0.995801102,1.013237,-0.000576979,0.000313504,0.989097269,0.977616815,1.000713,-0.002178235,0.002496935,0.997389531,0.991549237,1.003264,,0.999451305,0.99118939,1.007782087,1.00448145,0.995801102,1.013237464,0.989097269,0.977616815,1.000712542,0.997389531,0.991549237,1.003264225
Age 60+ Male,0.001974405,0.003274269,1.002965997,0.993357417,1.012668,0.000446704,0.000586608,1.003938732,0.993832279,1.014148,2.71E-05,0.000361708,1.000515707,0.987129116,1.014084,-0.002230055,0.002920129,0.997327511,0.990501192,1.004201,,1.002965997,0.993357417,1.01266752,1.003938732,0.993832279,1.014147958,1.000515033,0.98712845,1.014083152,0.997327511,0.990501192,1.004200876
